GISAID Accession.ID,Omicron_Emergence_MAIN,Omicron_Emergence_AGE,Omicron_Emergence_Vaccinated_Only,Delta_Emergence_MAIN,Delta_Emergence_AGE
EPI_ISL_8808033,1,1,1,0,0
EPI_ISL_9034863,0,0,0,0,0
EPI_ISL_7829409,0,0,0,0,0
EPI_ISL_8632320,1,1,1,0,0
EPI_ISL_7478508,0,0,0,0,0
EPI_ISL_7159579,0,0,0,0,0
EPI_ISL_9394923,0,0,0,0,0
EPI_ISL_8842839,0,0,0,0,0
EPI_ISL_8632364,0,1,0,0,0
EPI_ISL_8310743,0,1,1,0,0
EPI_ISL_9336888,1,1,1,0,0
EPI_ISL_8632344,1,0,0,0,0
EPI_ISL_8028322,1,1,1,0,0
EPI_ISL_8146634,0,1,0,0,0
EPI_ISL_8845285,0,1,0,0,0
EPI_ISL_8808246,0,1,0,0,0
EPI_ISL_8636434,0,0,0,0,0
EPI_ISL_8842825,0,1,0,0,0
EPI_ISL_8636384,0,1,0,0,0
EPI_ISL_8636439,0,1,0,0,0
EPI_ISL_8808017,1,1,1,0,0
EPI_ISL_8808231,0,0,0,0,0
EPI_ISL_9028269,0,1,0,0,0
EPI_ISL_8842366,1,1,0,0,0
EPI_ISL_8808007,1,1,1,0,0
EPI_ISL_8842841,0,0,0,0,0
EPI_ISL_9392741,0,0,0,0,0
EPI_ISL_9394836,0,0,0,0,0
EPI_ISL_896253,0,0,0,0,0
EPI_ISL_2278738,-1,-1,-1,-1,-1
EPI_ISL_9034859,0,0,0,0,0
EPI_ISL_8634229,-1,-1,-1,-1,-1
EPI_ISL_9261638,0,0,0,0,0
EPI_ISL_7829345,0,0,0,0,0
EPI_ISL_8635268,0,0,0,0,0
EPI_ISL_9184238,-1,-1,-1,-1,-1
EPI_ISL_8842798,0,0,0,0,0
EPI_ISL_8311090,0,0,0,0,0
EPI_ISL_8030835,-1,-1,-1,-1,-1
EPI_ISL_1499448,0,0,0,0,0
EPI_ISL_3370887,0,0,0,0,0
EPI_ISL_8632315,0,1,0,0,0
EPI_ISL_8024380,1,0,0,0,0
EPI_ISL_8807849,1,1,1,0,0
EPI_ISL_8807894,1,1,1,0,0
EPI_ISL_1624089,0,0,0,0,0
EPI_ISL_7478458,0,0,0,0,0
EPI_ISL_3836167,0,0,0,0,0
EPI_ISL_7467940,0,0,0,0,0
EPI_ISL_4194872,0,0,0,0,0
EPI_ISL_5695305,0,0,0,0,0
EPI_ISL_3836106,0,0,0,0,0
EPI_ISL_2627176,0,0,0,0,0
EPI_ISL_3836138,0,0,0,0,0
EPI_ISL_3836225,0,0,0,0,0
EPI_ISL_4882499,0,0,0,0,0
EPI_ISL_1756396,0,0,0,0,0
EPI_ISL_8636422,1,1,1,0,0
EPI_ISL_4569446,0,0,0,0,0
EPI_ISL_6175409,0,0,0,0,0
EPI_ISL_10590024,-1,-1,-1,-1,-1
EPI_ISL_8808180,0,1,0,0,0
EPI_ISL_1789717,0,0,0,0,0
EPI_ISL_4194779,0,0,0,0,0
EPI_ISL_6175397,0,0,0,0,0
EPI_ISL_7141026,0,0,0,0,0
EPI_ISL_1756407,0,0,0,0,0
EPI_ISL_8807868,0,0,0,0,0
EPI_ISL_1462604,0,0,0,0,0
EPI_ISL_1465858,0,0,0,0,0
EPI_ISL_1465844,0,0,0,0,0
EPI_ISL_1482470,0,0,0,0,0
EPI_ISL_4569487,0,0,0,0,0
EPI_ISL_7151331,0,0,0,0,0
EPI_ISL_5115245,0,0,0,0,0
EPI_ISL_7614853,0,0,0,0,0
EPI_ISL_7478472,0,0,0,0,0
EPI_ISL_7159518,0,0,0,0,0
EPI_ISL_6175411,0,0,0,0,0
EPI_ISL_1465637,0,0,0,0,0
EPI_ISL_1855265,0,0,0,0,0
EPI_ISL_1582229,0,0,0,0,0
EPI_ISL_1671599,0,0,0,0,0
EPI_ISL_3235650,0,0,0,0,1
EPI_ISL_5927125,0,0,0,0,0
EPI_ISL_3462765,0,0,0,0,0
EPI_ISL_4435294,0,0,0,0,0
EPI_ISL_5115274,0,0,0,0,0
EPI_ISL_10590011,-1,-1,-1,-1,-1
EPI_ISL_5393866,0,0,0,0,0
EPI_ISL_2278799,0,0,0,0,0
EPI_ISL_2278798,0,0,0,0,0
EPI_ISL_8635337,1,1,1,0,0
EPI_ISL_8636418,0,1,0,0,0
EPI_ISL_3462761,0,0,0,0,0
EPI_ISL_1582154,0,0,0,0,0
EPI_ISL_1499396,0,0,0,0,0
EPI_ISL_3235687,0,0,0,0,1
EPI_ISL_3462774,0,0,0,0,0
EPI_ISL_7141046,0,0,0,0,0
EPI_ISL_5393963,0,0,0,0,0
EPI_ISL_1462599,0,0,0,0,0
EPI_ISL_1756019,0,0,0,0,0
EPI_ISL_1582260,0,0,0,0,0
EPI_ISL_8808162,1,1,1,0,0
EPI_ISL_2097235,0,0,0,1,1
EPI_ISL_8310771,0,0,0,0,0
EPI_ISL_1580671,0,0,0,0,0
EPI_ISL_5695302,0,0,0,0,0
EPI_ISL_7159438,0,0,0,0,0
EPI_ISL_7159446,0,0,0,0,0
EPI_ISL_8024406,0,0,0,0,0
EPI_ISL_8808028,1,1,1,0,0
EPI_ISL_1582255,0,0,0,0,0
EPI_ISL_1921013,0,0,0,0,0
EPI_ISL_1920039,0,0,0,0,0
EPI_ISL_8032646,0,0,0,0,0
EPI_ISL_7151234,0,0,0,0,0
EPI_ISL_3836184,0,0,0,0,0
EPI_ISL_7159486,0,0,0,0,0
EPI_ISL_4194879,0,0,0,1,1
EPI_ISL_5115293,0,0,0,0,0
EPI_ISL_10590027,-1,-1,-1,-1,-1
EPI_ISL_1756333,0,0,0,0,0
EPI_ISL_7614831,0,0,0,0,0
EPI_ISL_3148982,0,0,0,1,1
EPI_ISL_3370892,0,0,0,0,0
EPI_ISL_6902981,0,0,0,0,0
EPI_ISL_5115241,0,0,0,0,0
EPI_ISL_3148985,0,0,0,0,1
EPI_ISL_2097252,0,0,0,1,0
EPI_ISL_2868325,0,0,0,0,1
EPI_ISL_1465653,0,0,0,0,0
EPI_ISL_6890038,0,0,0,0,0
EPI_ISL_6889159,0,0,0,0,0
EPI_ISL_7829372,0,0,0,0,0
EPI_ISL_8151792,0,0,0,0,0
EPI_ISL_8401243,0,0,0,0,0
EPI_ISL_4569621,0,0,0,0,0
EPI_ISL_1920032,0,0,0,0,0
EPI_ISL_1580672,0,0,0,0,0
EPI_ISL_1921065,0,0,0,0,0
EPI_ISL_4569493,0,0,0,0,0
EPI_ISL_7467948,0,0,0,0,0
EPI_ISL_8311057,0,0,0,0,0
EPI_ISL_7467950,0,0,0,0,0
EPI_ISL_8151738,1,1,0,0,0
EPI_ISL_4569620,0,0,0,0,0
EPI_ISL_4435356,0,0,0,0,0
EPI_ISL_7983820,0,0,0,0,0
EPI_ISL_1397566,0,0,0,0,0
EPI_ISL_5927206,0,0,0,0,0
EPI_ISL_7159470,0,0,0,0,0
EPI_ISL_4435339,0,0,0,0,0
EPI_ISL_8146609,1,1,1,0,0
EPI_ISL_7151235,0,0,0,0,0
EPI_ISL_4435340,0,0,0,0,0
EPI_ISL_9394845,0,0,0,0,0
EPI_ISL_2098600,0,0,0,0,0
EPI_ISL_5927132,0,0,0,0,0
EPI_ISL_3836123,0,0,0,0,0
EPI_ISL_4569483,0,0,0,0,0
EPI_ISL_5927168,0,0,0,0,0
EPI_ISL_6889571,0,0,0,0,0
EPI_ISL_5695334,0,0,0,0,0
EPI_ISL_2422309,0,0,0,0,0
EPI_ISL_3836174,0,0,0,1,0
EPI_ISL_7151250,0,0,0,0,0
EPI_ISL_7478497,0,0,0,0,0
EPI_ISL_1397832,0,0,0,0,0
EPI_ISL_3235726,0,0,0,1,1
EPI_ISL_1920041,0,0,0,0,0
EPI_ISL_5115285,0,0,0,0,0
EPI_ISL_8318095,1,0,0,0,0
EPI_ISL_6889562,0,0,0,0,0
EPI_ISL_7478476,0,0,0,0,0
EPI_ISL_5695354,0,0,0,0,0
EPI_ISL_7614857,0,0,0,0,0
EPI_ISL_5393974,0,0,0,0,0
EPI_ISL_4194759,0,0,0,0,0
EPI_ISL_8318445,1,1,1,0,0
EPI_ISL_8808234,1,0,1,0,0
EPI_ISL_2422300,0,0,0,0,0
EPI_ISL_8807842,1,1,1,0,0
EPI_ISL_8032654,0,0,0,0,0
EPI_ISL_6890060,0,0,0,0,0
EPI_ISL_8318463,0,1,1,0,0
EPI_ISL_7151329,0,0,0,0,0
EPI_ISL_4882964,0,0,0,0,0
EPI_ISL_7467894,0,0,0,0,0
EPI_ISL_6889369,0,0,0,0,0
EPI_ISL_5927127,0,0,0,0,0
EPI_ISL_8807881,1,1,1,0,0
EPI_ISL_5115275,0,0,0,0,0
EPI_ISL_4435352,0,0,0,0,0
EPI_ISL_8808226,1,1,1,0,0
EPI_ISL_4194760,0,0,0,0,0
EPI_ISL_7614820,0,0,0,0,0
EPI_ISL_5695314,0,0,0,0,0
EPI_ISL_3235646,0,0,0,0,0
EPI_ISL_7478479,0,0,0,0,0
EPI_ISL_3148953,0,0,0,0,1
EPI_ISL_2868263,0,0,0,0,0
EPI_ISL_1580741,0,0,0,0,0
EPI_ISL_7151301,0,0,0,0,0
EPI_ISL_6889373,0,0,0,0,0
EPI_ISL_5393940,0,0,0,0,0
EPI_ISL_7159512,0,0,0,0,0
EPI_ISL_7467955,0,0,0,0,0
EPI_ISL_3836214,0,0,0,0,0
EPI_ISL_2097267,0,0,0,0,0
EPI_ISL_2279551,0,0,0,0,0
EPI_ISL_7467934,0,0,0,0,0
EPI_ISL_7478484,0,0,0,0,0
EPI_ISL_1482610,0,0,0,0,0
EPI_ISL_5927179,0,0,0,0,0
EPI_ISL_4882528,0,0,0,0,0
EPI_ISL_5927139,0,0,0,0,0
EPI_ISL_9034858,0,0,0,0,0
EPI_ISL_9658614,0,0,0,0,0
EPI_ISL_7502120,0,0,0,0,0
EPI_ISL_7502117,0,0,0,0,0
EPI_ISL_7502118,0,0,0,0,0
EPI_ISL_8007624,0,0,0,0,0
EPI_ISL_7502134,0,0,0,0,0
EPI_ISL_5115270,0,0,0,0,0
EPI_ISL_7151233,0,0,0,0,0
EPI_ISL_8318440,1,1,0,0,0
EPI_ISL_8808170,1,1,1,0,0
EPI_ISL_7502126,0,0,0,0,0
EPI_ISL_2098508,0,0,0,0,0
EPI_ISL_8318121,1,1,1,0,0
EPI_ISL_2868590,0,0,0,0,0
EPI_ISL_4569459,0,0,0,0,0
EPI_ISL_6889337,0,0,0,0,0
EPI_ISL_2097298,0,0,0,0,0
EPI_ISL_2097293,0,0,0,0,0
EPI_ISL_6906037,0,0,0,0,0
EPI_ISL_3235691,0,0,0,0,1
EPI_ISL_3462775,0,0,0,0,0
EPI_ISL_3462833,0,0,0,0,0
EPI_ISL_5393991,0,0,0,0,0
EPI_ISL_2422307,0,0,0,0,0
EPI_ISL_2627140,0,0,0,0,0
EPI_ISL_1582307,0,0,0,0,0
EPI_ISL_6175471,0,0,0,0,0
EPI_ISL_5115267,0,0,0,0,0
EPI_ISL_5393970,0,0,0,0,0
EPI_ISL_4569637,0,0,0,0,0
EPI_ISL_8032601,0,0,0,0,0
EPI_ISL_2279563,0,0,0,0,0
EPI_ISL_2274644,0,0,0,0,0
EPI_ISL_9030844,0,0,0,0,0
EPI_ISL_6889088,0,0,0,0,0
EPI_ISL_2097268,0,0,0,0,0
EPI_ISL_7141505,0,0,0,0,0
EPI_ISL_8636448,0,1,0,0,0
EPI_ISL_7829375,0,0,0,0,0
EPI_ISL_9030848,0,0,0,0,0
EPI_ISL_9394849,1,0,0,0,0
EPI_ISL_7467942,0,0,0,0,0
EPI_ISL_1624487,0,0,0,0,0
EPI_ISL_5115337,0,0,0,0,0
EPI_ISL_4569461,0,0,0,0,0
EPI_ISL_6176194,0,0,0,0,0
EPI_ISL_4435316,0,0,0,0,0
EPI_ISL_2421207,0,0,0,0,0
EPI_ISL_8636436,1,0,0,0,0
EPI_ISL_5393967,0,0,0,0,0
EPI_ISL_5393978,0,0,0,0,0
EPI_ISL_7151337,0,0,0,0,0
EPI_ISL_5393948,0,0,0,0,0
EPI_ISL_1582151,0,0,0,0,0
EPI_ISL_2626946,0,0,0,0,0
EPI_ISL_5927143,0,0,0,0,0
EPI_ISL_8874537,0,0,0,0,0
EPI_ISL_4194757,0,0,0,0,0
EPI_ISL_5695280,0,0,0,0,0
EPI_ISL_5695284,0,0,0,0,0
EPI_ISL_1756011,0,0,0,0,0
EPI_ISL_9394850,0,0,0,0,0
EPI_ISL_8842376,1,1,1,0,0
EPI_ISL_1671490,0,0,0,0,0
EPI_ISL_5115299,0,0,0,0,0
EPI_ISL_8874531,1,0,0,0,0
EPI_ISL_8635320,0,1,0,0,0
EPI_ISL_4435302,0,0,0,0,0
EPI_ISL_4882963,0,0,0,0,0
EPI_ISL_4569635,0,0,0,0,0
EPI_ISL_3845594,0,0,0,0,0
EPI_ISL_8146647,0,0,0,0,0
EPI_ISL_2097246,0,0,0,0,0
EPI_ISL_4569630,0,0,0,0,0
EPI_ISL_5695328,0,0,0,0,0
EPI_ISL_8032595,0,0,0,0,0
EPI_ISL_9394875,0,0,0,0,0
EPI_ISL_2421245,0,0,0,0,0
EPI_ISL_1920029,0,0,0,0,0
EPI_ISL_1582272,0,0,0,0,0
EPI_ISL_4194895,0,0,0,0,0
EPI_ISL_6890075,0,0,0,0,0
EPI_ISL_1398268,0,0,0,0,0
EPI_ISL_3836117,0,0,0,0,0
EPI_ISL_4194786,0,0,0,0,0
EPI_ISL_2421253,0,0,0,0,0
EPI_ISL_8842340,0,0,0,0,0
EPI_ISL_3836210,0,0,0,0,0
EPI_ISL_8024368,0,0,0,0,0
EPI_ISL_3836219,0,0,0,0,0
EPI_ISL_1582156,0,0,0,0,0
EPI_ISL_3835023,0,0,0,1,1
EPI_ISL_10590000,-1,-1,-1,-1,-1
EPI_ISL_2868468,0,0,0,0,0
EPI_ISL_8310727,0,1,1,0,0
EPI_ISL_8632323,1,1,1,0,0
EPI_ISL_4194783,0,0,0,0,0
EPI_ISL_8310742,0,0,0,0,0
EPI_ISL_1582245,0,0,0,0,0
EPI_ISL_3462760,0,0,0,0,0
EPI_ISL_5695282,0,0,0,0,1
EPI_ISL_4569605,0,0,0,0,0
EPI_ISL_8842344,0,0,0,0,0
EPI_ISL_4276955,0,0,0,0,0
EPI_ISL_5695279,0,0,0,0,0
EPI_ISL_2868260,0,0,0,0,0
EPI_ISL_2868261,0,0,0,0,0
EPI_ISL_4882862,0,0,0,0,0
EPI_ISL_6175457,0,0,0,0,0
EPI_ISL_3235671,0,0,0,0,1
EPI_ISL_8028285,0,0,0,0,0
EPI_ISL_8874546,0,0,0,0,0
EPI_ISL_4435359,0,0,0,0,0
EPI_ISL_3836160,0,0,0,0,0
EPI_ISL_9030911,0,0,0,0,0
EPI_ISL_4194910,0,0,0,0,0
EPI_ISL_4882906,0,0,0,0,0
EPI_ISL_4194880,0,0,0,1,1
EPI_ISL_6175453,0,0,0,0,0
EPI_ISL_4882920,0,0,0,0,0
EPI_ISL_4194768,0,0,0,0,0
EPI_ISL_7614862,0,0,0,0,0
EPI_ISL_5695288,0,0,0,0,0
EPI_ISL_6175399,0,0,0,0,0
EPI_ISL_7467949,0,0,0,0,0
EPI_ISL_8842872,0,0,0,0,0
EPI_ISL_1671484,0,0,0,0,0
EPI_ISL_5115347,0,0,0,0,0
EPI_ISL_6889018,0,0,0,0,0
EPI_ISL_6889031,0,0,0,0,0
EPI_ISL_7151318,0,0,0,0,0
EPI_ISL_8808206,0,0,0,0,0
EPI_ISL_2278753,0,0,0,0,0
EPI_ISL_1921014,0,0,0,0,0
EPI_ISL_4569584,0,0,0,0,0
EPI_ISL_5393882,0,0,0,0,0
EPI_ISL_3836163,0,0,0,0,0
EPI_ISL_9030860,0,0,0,0,0
EPI_ISL_8318469,1,1,1,0,0
EPI_ISL_3235647,0,0,0,0,0
EPI_ISL_3835025,0,0,0,0,1
EPI_ISL_1465848,0,0,0,0,0
EPI_ISL_5213270,0,0,0,0,0
EPI_ISL_4569456,0,0,0,0,0
EPI_ISL_4194735,0,0,0,0,0
EPI_ISL_7151240,0,0,0,0,0
EPI_ISL_4194804,0,0,0,0,0
EPI_ISL_5695294,0,0,0,0,0
EPI_ISL_5695295,0,0,0,0,0
EPI_ISL_1855114,0,0,0,0,0
EPI_ISL_6175467,0,0,0,0,0
EPI_ISL_7467900,0,0,0,0,0
EPI_ISL_9030856,0,0,0,0,0
EPI_ISL_4569629,0,0,0,0,0
EPI_ISL_8318482,1,1,1,0,0
EPI_ISL_8032589,0,0,0,0,0
EPI_ISL_6175443,0,0,0,0,0
EPI_ISL_8842375,1,1,1,0,0
EPI_ISL_2097295,0,0,0,0,0
EPI_ISL_8028307,0,0,0,0,0
EPI_ISL_4882505,0,0,0,0,0
EPI_ISL_6176109,0,0,0,0,0
EPI_ISL_7829402,0,0,0,0,0
EPI_ISL_7159529,0,0,0,0,0
EPI_ISL_8147630,0,0,0,0,0
EPI_ISL_8147643,0,0,0,0,0
EPI_ISL_4194714,0,0,0,0,0
EPI_ISL_8318085,0,0,0,0,0
EPI_ISL_3836086,0,0,0,0,0
EPI_ISL_8808036,1,1,1,0,0
EPI_ISL_2422319,0,0,0,0,0
EPI_ISL_5393920,0,0,0,0,1
EPI_ISL_5695310,0,0,0,0,0
EPI_ISL_3835022,0,0,0,1,1
EPI_ISL_8311064,0,0,0,0,0
EPI_ISL_3030991,0,0,0,0,0
EPI_ISL_7829369,0,0,0,0,0
EPI_ISL_3235666,0,0,0,0,1
EPI_ISL_7159471,0,0,0,0,0
EPI_ISL_4194771,0,0,0,0,0
EPI_ISL_9184222,0,0,0,0,0
EPI_ISL_7159495,0,0,0,0,0
EPI_ISL_5115288,0,0,0,0,0
EPI_ISL_3148964,0,0,0,0,1
EPI_ISL_8032583,0,0,0,0,0
EPI_ISL_8311109,1,0,1,0,0
EPI_ISL_7141490,0,0,0,0,0
EPI_ISL_8311058,0,0,0,0,0
EPI_ISL_7614879,0,0,0,0,0
EPI_ISL_4569445,0,0,0,0,0
EPI_ISL_4569434,0,0,0,0,0
EPI_ISL_4569489,0,0,0,0,0
EPI_ISL_7141445,0,0,0,0,0
EPI_ISL_1935613,0,0,0,0,0
EPI_ISL_9028262,1,0,1,0,0
EPI_ISL_9030501,0,0,0,0,0
EPI_ISL_8318486,1,1,1,0,0
EPI_ISL_4569656,0,0,0,0,0
EPI_ISL_6890026,0,0,0,0,0
EPI_ISL_4569455,0,0,0,0,0
EPI_ISL_6889507,0,0,0,0,0
EPI_ISL_6889074,0,0,0,0,0
EPI_ISL_2421099,0,0,0,0,0
EPI_ISL_8632306,1,1,1,0,0
EPI_ISL_8311055,0,0,0,0,0
EPI_ISL_4569444,0,0,0,0,0
EPI_ISL_4194920,0,0,0,1,1
EPI_ISL_4194814,0,0,0,0,0
EPI_ISL_4194812,0,0,0,0,0
EPI_ISL_9028281,0,0,0,0,0
EPI_ISL_6175724,0,0,0,0,0
EPI_ISL_5927210,0,0,0,0,0
EPI_ISL_6905965,0,0,0,0,0
EPI_ISL_7829403,0,0,0,0,0
EPI_ISL_4569475,0,0,0,0,0
EPI_ISL_4569478,0,0,0,0,0
EPI_ISL_6889231,0,0,0,0,0
EPI_ISL_8318104,0,0,0,0,0
EPI_ISL_9030507,0,0,0,0,0
EPI_ISL_1756337,0,0,0,0,0
EPI_ISL_4194931,0,0,0,0,0
EPI_ISL_8024379,0,0,0,0,0
EPI_ISL_8147646,0,0,0,0,0
EPI_ISL_6889577,0,0,0,0,0
EPI_ISL_6889302,0,0,0,0,0
EPI_ISL_6889265,0,0,0,0,0
EPI_ISL_2421184,0,0,0,0,0
EPI_ISL_4194882,0,0,0,1,0
EPI_ISL_6175821,0,0,0,0,0
EPI_ISL_8032588,0,0,0,0,0
EPI_ISL_4194719,0,0,0,0,0
EPI_ISL_4276956,0,0,0,0,0
EPI_ISL_8318079,0,0,0,0,0
EPI_ISL_6905971,0,0,0,0,0
EPI_ISL_7829351,0,0,0,0,0
EPI_ISL_9394890,0,0,0,0,0
EPI_ISL_4435358,0,0,0,0,0
EPI_ISL_7159585,0,0,0,0,0
EPI_ISL_3235658,0,0,0,1,1
EPI_ISL_1755972,0,0,0,0,0
EPI_ISL_7502131,0,0,0,0,0
EPI_ISL_4194927,0,0,0,0,1
EPI_ISL_8318103,0,0,0,0,0
EPI_ISL_8318078,0,0,0,0,0
EPI_ISL_4194918,0,0,0,0,0
EPI_ISL_10589997,-1,-1,-1,-1,-1
EPI_ISL_9034887,0,1,0,0,0
EPI_ISL_9028300,1,1,0,0,0
EPI_ISL_7159451,0,0,0,0,0
EPI_ISL_8842346,0,1,1,0,0
EPI_ISL_4194716,0,0,0,0,0
EPI_ISL_7829371,0,0,0,0,0
EPI_ISL_8147645,0,0,0,0,0
EPI_ISL_3370860,0,0,0,0,0
EPI_ISL_9184213,0,0,0,0,0
EPI_ISL_8310738,0,0,1,0,0
EPI_ISL_8146559,0,0,0,0,0
EPI_ISL_9030912,0,0,0,0,0
EPI_ISL_9028248,1,1,0,0,0
EPI_ISL_9034848,0,0,0,0,0
EPI_ISL_2279560,0,0,0,0,0
EPI_ISL_7829413,0,0,0,0,0
EPI_ISL_5927163,0,0,0,0,0
EPI_ISL_7151266,0,0,0,0,0
EPI_ISL_7151249,0,0,0,0,0
EPI_ISL_3462796,0,0,0,0,0
EPI_ISL_9184211,0,0,0,0,0
EPI_ISL_4569651,0,0,0,0,0
EPI_ISL_8311060,0,0,0,0,0
EPI_ISL_3835011,0,0,0,0,0
EPI_ISL_9261632,1,0,0,0,0
EPI_ISL_8311049,0,0,0,0,0
EPI_ISL_7151358,0,0,0,0,0
EPI_ISL_7136913,0,0,0,0,0
EPI_ISL_4194899,0,0,0,0,0
EPI_ISL_5695312,0,0,0,0,0
EPI_ISL_7151252,0,0,0,0,0
EPI_ISL_8151785,0,0,0,0,0
EPI_ISL_9034872,1,1,0,0,0
EPI_ISL_2098630,0,0,0,0,0
EPI_ISL_6175898,0,0,0,0,0
EPI_ISL_7502133,0,0,0,0,0
EPI_ISL_4715693,0,0,0,0,0
EPI_ISL_5115284,0,0,0,0,0
EPI_ISL_4569467,0,0,0,0,0
EPI_ISL_3462789,0,0,0,0,0
EPI_ISL_7478511,0,0,0,0,0
EPI_ISL_8146639,0,1,1,0,0
EPI_ISL_8874530,0,0,0,0,0
EPI_ISL_7159567,0,0,0,0,0
EPI_ISL_6889688,0,0,0,0,0
EPI_ISL_8874538,0,0,0,0,0
EPI_ISL_7614826,0,0,0,0,0
EPI_ISL_4569457,0,0,0,0,0
EPI_ISL_9184255,0,0,0,0,0
EPI_ISL_7829381,0,0,0,0,0
EPI_ISL_5927128,0,0,0,0,0
EPI_ISL_3370876,0,0,0,0,0
EPI_ISL_6889060,0,0,0,0,0
EPI_ISL_8028294,0,0,0,0,0
EPI_ISL_9028246,1,1,0,0,0
EPI_ISL_8808039,1,1,0,0,0
EPI_ISL_4435346,0,0,0,0,0
EPI_ISL_8842341,0,0,1,0,0
EPI_ISL_7467944,0,0,0,0,0
EPI_ISL_3031077,0,0,0,0,1
EPI_ISL_9184217,0,0,0,0,0
EPI_ISL_8146564,0,0,0,0,0
EPI_ISL_6889135,0,0,0,0,0
EPI_ISL_6902984,0,0,0,0,0
EPI_ISL_7151284,0,0,0,0,0
EPI_ISL_7136872,0,0,0,0,0
EPI_ISL_9394874,0,0,0,0,0
EPI_ISL_9034854,0,0,0,0,0
EPI_ISL_9392757,0,0,0,0,0
EPI_ISL_3370886,0,0,0,0,0
EPI_ISL_6889017,0,0,0,0,0
EPI_ISL_5115356,0,0,0,0,0
EPI_ISL_8151793,0,0,0,0,0
EPI_ISL_3148971,0,0,0,0,0
EPI_ISL_3462806,0,0,0,0,0
EPI_ISL_3835056,0,0,0,0,0
EPI_ISL_7467958,0,0,0,0,0
EPI_ISL_5927248,0,0,0,0,0
EPI_ISL_5393913,0,0,0,0,0
EPI_ISL_5115384,0,0,0,0,0
EPI_ISL_3235662,0,0,0,0,0
EPI_ISL_4882912,0,0,0,0,0
EPI_ISL_4882937,0,0,0,0,0
EPI_ISL_6903047,0,0,0,0,0
EPI_ISL_6889274,0,0,0,0,0
EPI_ISL_8007808,0,0,0,0,0
EPI_ISL_4194817,0,0,0,0,0
EPI_ISL_7151771,0,0,0,0,0
EPI_ISL_10590002,-1,-1,-1,-1,-1
EPI_ISL_6889950,0,0,0,0,0
EPI_ISL_3835046,0,0,0,0,0
EPI_ISL_4882941,0,0,0,0,0
EPI_ISL_4882944,0,0,0,0,0
EPI_ISL_4569618,0,0,0,0,0
EPI_ISL_7614828,0,0,0,0,0
EPI_ISL_6889839,0,0,0,0,0
EPI_ISL_8146525,1,0,1,0,0
EPI_ISL_1855145,0,0,0,0,0
EPI_ISL_3148986,0,0,0,1,1
EPI_ISL_6905969,0,0,0,0,0
EPI_ISL_4276957,0,0,0,0,0
EPI_ISL_7467951,0,0,0,0,0
EPI_ISL_9261494,0,0,0,0,0
EPI_ISL_8874524,0,1,0,0,0
EPI_ISL_7141457,0,0,0,0,0
EPI_ISL_7478491,0,0,0,0,0
EPI_ISL_4435308,0,0,0,0,0
EPI_ISL_4569645,0,0,0,0,0
EPI_ISL_5393994,0,0,0,0,0
EPI_ISL_3370891,0,0,0,0,0
EPI_ISL_7141002,0,0,0,0,0
EPI_ISL_6889944,0,0,0,0,0
EPI_ISL_3836135,0,0,0,0,0
EPI_ISL_6889271,0,0,0,0,0
EPI_ISL_6248673,0,0,0,0,0
EPI_ISL_5115244,0,0,0,0,0
EPI_ISL_7159530,0,0,0,0,0
EPI_ISL_8028312,0,1,0,0,0
EPI_ISL_3235657,0,0,0,0,0
EPI_ISL_8808166,1,1,1,0,0
EPI_ISL_7478475,0,0,0,0,0
EPI_ISL_7151386,0,0,0,0,0
EPI_ISL_8808212,0,0,0,0,0
EPI_ISL_7829370,0,0,0,0,0
EPI_ISL_4435355,0,0,0,0,0
EPI_ISL_3031060,-1,-1,-1,-1,-1
EPI_ISL_9394844,0,0,0,0,0
EPI_ISL_8632356,0,0,0,0,0
EPI_ISL_3031263,0,0,0,0,0
EPI_ISL_4730656,0,0,0,0,0
EPI_ISL_5393893,0,0,0,0,0
EPI_ISL_4194765,0,0,0,0,0
EPI_ISL_6889054,0,0,0,0,0
EPI_ISL_3235703,0,0,0,0,1
EPI_ISL_7136884,0,0,0,0,0
EPI_ISL_4882935,0,0,0,0,0
EPI_ISL_8032590,0,0,0,0,0
EPI_ISL_5393909,0,0,0,0,0
EPI_ISL_8807839,1,1,0,0,0
EPI_ISL_5927204,0,0,0,0,0
EPI_ISL_3235725,0,0,0,1,1
EPI_ISL_8318114,0,0,0,0,0
EPI_ISL_3030980,0,0,0,0,0
EPI_ISL_3148959,0,0,0,0,0
EPI_ISL_4882955,0,0,0,0,0
EPI_ISL_7829367,0,0,0,0,0
EPI_ISL_7478506,0,0,0,0,0
EPI_ISL_5115333,0,0,0,0,0
EPI_ISL_7782602,1,1,1,0,0
EPI_ISL_4569638,0,0,0,0,0
EPI_ISL_7159457,0,0,0,0,0
EPI_ISL_8808192,1,1,1,0,0
EPI_ISL_2279525,0,0,0,0,0
EPI_ISL_7151304,0,0,0,0,0
EPI_ISL_3835064,0,0,0,0,0
EPI_ISL_9030891,1,1,1,0,0
EPI_ISL_4194925,0,0,0,0,0
EPI_ISL_6175965,0,0,0,0,0
EPI_ISL_7159469,0,0,0,0,0
EPI_ISL_7136906,0,0,0,0,0
EPI_ISL_7136893,0,0,0,0,0
EPI_ISL_8318460,1,1,1,0,0
EPI_ISL_4194747,0,0,0,0,0
EPI_ISL_6903036,0,0,0,0,0
